probe    C8 Avg	Control Avg
1759829_s_at	8.38848	3.98858
1762701_s_at	7.68253	6.19013
1768165_s_at	5.73060	2.51238
1763249_s_at	2.88164	2.55264
1763171_s_at	3.97238	2.96711
1761245_s_at	2.78982	3.08807
1765321_s_at	7.58906	3.81545
1767173_s_at	3.00591	6.63830
1760545_s_at	8.14876	3.52003
1760419_at	6.56777	6.76451
1759341_s_at	2.74769	2.48330
1761189_s_at	4.35889	6.10274
1761538_at	3.16753	5.85805
1768910_s_at	2.70884	4.73898
1763490_s_at	2.28513	3.53937
1763982_s_at	3.47359	6.05427
1762767_s_at	2.50176	2.36947
1761701_s_at	3.59440	3.55209
1763049_s_at	5.29047	5.08513
1766243_s_at	3.25835	3.09905
1764531_s_at	6.43405	6.80920
1764019_s_at	3.76684	3.24266
1762766_s_at	2.44079	2.36082
1769204_at	3.45974	3.85390
1767463_s_at	6.45657	4.99231
1759897_s_at	2.79325	5.07111
1767981_s_at	5.09011	9.05508
1766530_s_at	2.87140	4.58705
1762370_s_at	6.89396	5.63101
1760053_s_at	3.72194	5.63768
1765227_s_at	4.51724	4.08120
1760767_at	2.46731	2.40430
1762733_s_at	4.82360	2.63956
1759632_s_at	3.28940	3.58452
1766156_s_at	4.35452	6.23476
1768808_s_at	4.32298	3.58317
1766991_s_at	3.02361	4.87877
1767061_s_at	2.49777	2.37465
1765786_s_at	5.93136	2.83079
1760164_s_at	3.05073	4.52090
1768540_at	4.26143	2.77190
1762727_s_at	2.61385	2.40005
1768120_s_at	4.79013	6.78720
1768025_s_at	7.34024	7.59647
1768689_s_at	5.97489	5.18965
1767705_s_at	5.22084	4.86294
1768315_s_at	2.64938	2.47073
1767590_s_at	7.23365	4.92016
1761338_s_at	2.41823	4.43001
1766150_s_at	2.59669	2.58411
1769065_at	4.83378	3.01132
1766924_s_at	2.35154	2.35645
1763292_s_at	3.81591	3.95162
1759494_s_at	4.32045	2.57583
1768555_s_at	3.81180	5.73009
1760509_s_at	4.59221	2.81422
1762191_s_at	3.99335	4.84507
1762761_s_at	6.07130	6.15079
1764513_s_at	3.83113	2.67565
1768757_s_at	3.82596	2.95861
1766745_s_at	5.38241	4.87237
1763116_s_at	2.91489	4.48211
1768710_s_at	4.48540	7.68537
1760976_s_at	2.97453	4.24395
1762105_s_at	3.78982	5.56023
1760507_at	4.34256	8.37154
1765046_s_at	3.89495	5.72965
AFFX-r2-Ec-bioD-5_at	3.16610	2.93439
1760710_s_at	5.03876	6.29598
1763760_at	2.80910	2.38385
1764033_s_at	3.61569	5.57523
1759909_s_at	3.16884	2.81920
1768775_s_at	4.38117	4.62751
1762813_s_at	6.40641	5.90020
1760938_s_at	4.86965	2.81307
1762151_s_at	2.30581	2.68622
1764777_s_at	4.06090	3.14297
1759182_s_at	7.54309	3.65385
1761277_s_at	2.37885	3.34771
1764874_s_at	4.92784	4.58649
1766300_s_at	4.98463	4.34117
1764404_s_at	6.07919	5.62882
1764950_at	3.36746	3.19971
1763541_s_at	4.41104	2.44404
1764851_s_at	2.88767	4.83532
1767885_at	4.80568	7.25079
1762699_at	6.64000	3.07546
1766920_s_at	3.38363	3.44431
1763908_s_at	3.43480	3.17409
1768851_s_at	3.04438	2.68129
1761361_s_at	2.96492	2.50714
1767192_s_at	2.80139	3.17742
1762678_at	4.17127	2.85420
1768624_s_at	4.89078	5.73022
1763735_s_at	3.49264	3.04583
1768112_at	4.47607	6.99088
1766205_x_at	2.77820	2.65340
1766528_s_at	6.19709	2.90516
1765173_s_at	3.03293	3.37941
1768498_s_at	4.66313	2.51854
1767468_s_at	5.39283	4.13838
1767171_s_at	3.57280	5.79398
1768534_s_at	6.63087	5.64831
1766131_s_at	6.82098	5.02987
1763142_s_at	4.94019	4.69946
