probe    EcoCyc CommonName	EcoCyc accession	EcoCyc ID
1759829_s_at	hdeB	b3509	EG11399
1768165_s_at	gadC	b1492	G6786
1763249_s_at	yjbR	b4057	EG11936
1763171_s_at	yhbW	b3160	G7654
1761245_s_at	flgK	b1082	EG11967
1765321_s_at	hdeA	b3510	EG11398
1760545_s_at	gadB	b1493	EG11490
1760419_at	smg	b3284	EG11605
1761189_s_at	fliM	b1945	EG10323
1761538_at	flxA	b1566	G6833
1768910_s_at	fliL	b1944	EG10322
1763490_s_at	fliA	b1922	EG11355
1763982_s_at	motA	b1890	EG10601
1762767_s_at	hybG	b2990	EG11805
1761701_s_at	lpxT	b2174	G7146
1763049_s_at	artI	b0863	EG11625
1766243_s_at	pdxH	b1638	EG11487
1764531_s_at	thrS	b1719	EG11001
1764019_s_at	dkgA	b3012	G7565
1762766_s_at	iraD	b4326	G7923
1769204_at	malT	b3418	EG10562
1767463_s_at	osmY	b4376	EG11391
1759897_s_at	fliK	b1943	G379
1767981_s_at	ompF	b0929	EG10671
1766530_s_at	fliG	b1939	EG11654
1762370_s_at	mscS	b2924	EG11160
1765227_s_at	panD	b0131	EG11747
1760767_at	ssuE	b0937	G6479
1762733_s_at	yhiD	b3508	EG11400
1759632_s_at	codB	b0336	EG11327
1768808_s_at	ygaU	b2665	G7395
1765786_s_at	hdeD	b3511	EG11495
1760164_s_at	cheR	b1884	EG10148
1762727_s_at	yfcG	b2302	G7194
1768120_s_at	flgC	b1074	G359
1768025_s_at	alaS	b2697	EG10034
1768689_s_at	osmC	b1482	EG10680
1767705_s_at	mlaD	b3193	EG12799
1768315_s_at	yfdZ	b2379	G7242
1767590_s_at	sra	b1480	EG11508
1766150_s_at	putA	b1014	EG10801
1769065_at	ymgA	b1165	G6605
1766924_s_at	yeiH	b2158	EG12027
1759494_s_at	bhsA	b1112	G6570
1768555_s_at	flgM	b1071	G369
1760509_s_at	gadX	b3516	EG12243
1762191_s_at	malE	b4034	EG10554
1762761_s_at	yrbA	b3190	G7657
1764513_s_at	ygiW	b3024	G7574
1768757_s_at	pfkB	b1723	EG10700
1766745_s_at	ecnB	b4411	G0-9562
1763116_s_at	flgA	b1072	G357
1768710_s_at	flgL	b1083	EG11545
1760976_s_at	fliJ	b1942	G378
1762105_s_at	flgB	b1073	G358
1760507_at	nmpC	b0553	EG10659
1765046_s_at	yhjH	b3525	EG12252
1763760_at	frvX	b3898	EG11862
1764033_s_at	fliS	b1925	EG11388
1759909_s_at	yegP	b2080	G7117
1768775_s_at	rbsB	b3751	EG10815
1762813_s_at	trxA	b3781	EG11031
1760938_s_at	marA	b1531	EG11434
1762151_s_at	fliT	b1926	EG11389
1764777_s_at	msyB	b1051	EG11338
1759182_s_at	yhcN	b3238	G7683
1761277_s_at	ycgR	b1194	G6623
1764874_s_at	ydhQ	b1664	G6894
1766300_s_at	yfbQ	b2290	G7184
1764404_s_at	cyoD	b0429	EG10181
1764950_at	tdh	b3616	EG10993
1764851_s_at	cheY	b1882	EG10150
1767885_at	fliC	b1923	EG10321
1762699_at	micF	b4439	EG30063
1766920_s_at	glpX	b3925	EG11517
1763908_s_at	yaeR	b0187	G6095
1768851_s_at	ydbK	b1378	G6701
1761361_s_at	mdtG	b1053	EG11343
1767192_s_at	sdaB	b2797	EG11623
1768624_s_at	hisQ	b2308	EG12125
1763735_s_at	arnB	b2253	G7166
1768112_at	flgE	b1076	G361
1766205_x_at	hisL	b2018	EG11269
1766528_s_at	gadE	b3512	EG11544
1765173_s_at	cheB	b1883	EG10147
1768498_s_at	gadA	b3517	EG50009
1767468_s_at	ybjC	b0850	EG12842
1767171_s_at	motB	b1889	EG10602
1768534_s_at	grxB	b1064	EG12688
1766131_s_at	yagU	b0287	G6158
1763142_s_at	hemB	b0369	EG10428
1765340_s_at	pmrD	b2259	G7172
1759302_s_at	cheW	b1887	EG10149
1764567_s_at	katE	b1732	EG10509
1767825_s_at	ompX	b0814	EG12117
1768914_s_at	tar	b1886	EG10988
1760453_s_at	fliZ	b1921	EG11356
1763750_s_at	fliF	b1938	EG11347
1764070_s_at	fliE	b1937	EG11346
1762388_s_at	tsr	b4355	EG11034
1763535_s_at	fsr	b0479	G6256
1768113_s_at	mdtE	b3513	EG12240
1767805_s_at	ydgA	b1614	G6865
1766738_s_at	livK	b3458	EG10540
1766980_s_at	fliI	b1941	G377
1759309_s_at	dps	b0812	EG11415
1763125_s_at	glgS	b3049	EG11381
1763969_s_at	yjcZ	b4110	G7823
1759421_s_at	slyB	b1641	G6881
1765823_s_at	yeaQ	b1795	G6981
1760428_s_at	glpC	b2243	EG10393
1765561_s_at	rplI	b4203	EG10870
1762532_s_at	ycgZ	b1164	G6604
1766292_s_at	cfa	b1661	EG11531
1764942_s_at	ppk	b2501	EG11510
1759740_s_at	ybaS	b0485	G6261
1766157_s_at	rrsG	b2591	EG30089
1765577_s_at	tpr	b1229	EG11016
1766481_s_at	mprA	b2684	EG10603
1759490_s_at	hns	b1237	EG10457
1759437_s_at	nfrA	b0568	EG11740
1760008_s_at	rmf	b0953	EG50004
1759425_s_at	pcnB	b0143	EG10690
1767951_s_at	yeeE	b2013	EG11895
1763236_s_at	rutR	b1013	EG12301
1759621_s_at	fbaB	b2097	G7129
1767237_s_at	seqA	b0687	EG12197
1765487_s_at	yeeD	b2012	EG11894
1769150_s_at	ygfZ	b2898	G7511
1769059_s_at	ynfC	b1585	G6843
1767225_s_at	rsmE	b2946	EG12366
1762500_s_at	folE	b2153	EG11375
1762741_s_at	otsB	b1897	EG11752
1763776_s_at	uxuA	b4322	EG11066
1762721_s_at	bioD	b0778	EG10120
1761899_s_at	b0105		G6090
1762158_s_at	proY	b0402	G6233
1759780_s_at	lpp	b1677	EG10544
1765175_s_at	rpsP	b2609	EG10915
1762546_s_at	fimC	b4316	EG10310
1760643_s_at	flgD	b1075	G360
1764958_s_at	gatC	b2092	EG12416
1764241_s_at	fliD	b1924	EG10841
1765504_s_at	cheZ	b1881	EG10151
1766750_s_at	cheA	b1888	EG10146
1760780_s_at	yqiJ	b3050	G7588
1762439_s_at	yeaO	b1792	G6978
1766101_s_at	wrbA	b1004	EG11540
1765241_s_at	fliN	b1946	EG10324
1766935_s_at	basR	b4113	EG11615
1761433_s_at	ompR	b3405	EG10672
1766815_s_at	gntR	b3438	EG12630
1769158_s_at	yhaL	b3107	G7621
1767983_s_at	pyrI	b4244	EG10811
1759865_s_at	atpE	b3737	EG10102
1763412_s_at	yidR	b3689	EG11713
1764006_s_at	yheO	b3346	G7715
1764073_s_at	yhcO	b3239	G7684
1769076_at	yfeD	b2399	EG11432
1761164_s_at	fadJ	b2341	G7212
1762483_s_at	leuB	b0073	EG11577
1763312_at	csrB	b4408	G0-8785
1761160_s_at	fliO	b1947	EG11224
1760147_s_at	nuoH	b2282	EG12088
1760294_s_at	leuL	b0075	EG11280
1767565_s_at	evgA	b2369	EG11609
1763277_s_at	ymgG	b1172	G6612
1763308_s_at	envZ	b3404	EG10269
1761629_s_at	cysZ	b2413	EG10003
1761210_s_at	tdk	b1238	EG10994
1767229_at	cld	b2027	G7090
1762292_s_at	cysP	b2425	EG10195
1766226_s_at	flhB	b1880	G7028
1763471_s_at	yggW	b2955	G7531
1759761_s_at	ydgD	b1598	G6856
1765685_at	sibC	b4446	G0-8886
1759395_s_at	dppA	b3544	EG10248
1761362_s_at	purU	b1232	EG11819
1766408_s_at	amyA	b1927	EG11387
1761979_s_at	cycA	b4208	EG12504
1767343_s_at	yeiQ	b2172	EG12036
1760724_s_at	elaB	b2266	G7173
1764077_s_at	gadW	b3515	EG12242
1762053_s_at	mlaC	b3192	G7659
1763781_s_at	gltP	b4077	EG10405
1764487_s_at	rraB	b4255	G7885
1763870_s_at	ybaA	b0456	EG11099
1768029_s_at	yhdH	b3253	EG11315
1767074_s_at	sdiA	b1916	EG10935
1765311_at	rfbA	b2039	EG11978
1765425_s_at	cspC	b1823	EG12204
1767894_s_at	fliR	b1950	EG11977
1762401_s_at	yciF	b1258	EG11126
1767041_s_at	ybhP	b0790	G6407
1763930_at	wbbJ	b2033	EG11984
1761145_s_at	insC-1	b0360	G6212
1767435_s_at	flgG	b1078	G363
1765966_s_at	hisP	b2306	EG10452
1767430_s_at	fliP	b1948	EG11975
1764397_s_at	hchA	b1967	G7055
1763173_s_at	dcuD	b3227	G7679
1766576_s_at	galK	b0757	EG10363
1759726_s_at	tdcA	b3118	EG10989
1763891_s_at	rrfH	b0205	EG30076
1764499_s_at	pldA	b3821	EG10738
1766202_s_at	tap	b1885	EG10987
1759179_s_at	osmB	b1283	EG10679
1762904_s_at	artP	b0864	EG11624
1767356_s_at	chaC	b1218	EG12403
1763661_s_at	dkgB	b0207	EG11648
1760410_at	rfaZ	b3624	EG11426
1768632_s_at	yfcD	b2299	G7191
1763712_s_at	bcp	b2480	EG10108
1760881_s_at	acnA	b1276	EG11325
1768991_s_at	rlmL	b0948	G6488
1764710_s_at	yhdN	b3293	EG11970
1760257_s_at	ppsR	b1703	EG11132
1764090_s_at	allR	b0506	G6276
1768064_s_at	sgrS	b4577	G0-9941
1762424_s_at	dacA	b0632	EG10201
1766657_s_at	nuoE	b2285	EG12086
1765216_s_at	corA	b3816	EG11463
1766615_at	insN-2	b4283	G7904
1760684_s_at	malF	b4033	EG10555
1766197_s_at	mltD	b0211	EG10246
1764083_s_at	hupA	b4000	EG10466
1763985_s_at	ffs	b0455	EG30027
1765099_s_at	nfsA	b0851	EG11261
1764983_s_at	cpxP	b4484	G7816
1764745_at	yqjG	b3102	G7616
1764187_s_at	malQ	b3416	EG10561
1768488_s_at	asmA	b2064	EG11361
1766187_s_at	ygdI	b2809	G7453
1768576_at	ycgV	b1202	G6629
1764293_s_at	yqjD	b3098	G7612
1764593_s_at	rnhA	b0214	EG10860
1767019_s_at	yecR	b1904	G7035
1768345_s_at	ybgE	b0735	EG12395
1766669_s_at	ygiV	b3023	G7573
1761971_s_at	yiaD	b3552	EG12271
1762794_s_at	ylaC	b0458	G6253
1762024_s_at	pspG	b4050	EG11933
1767724_s_at	yicR	b3638	EG11312
1762609_s_at	mokB	b1420	G6736
1761655_s_at	lplA	b4386	EG11796
1760316_s_at	speD	b0120	EG10962
1760943_s_at	pgi	b4025	EG10702
1761449_s_at	slyA	b1642	G6882
1760582_at	rfbX	b2037	EG11980
1765588_s_at	cydB	b0734	EG10174
1759749_s_at	ycaC	b0897	EG11241
1761962_s_at	galE	b0759	EG10362
1766073_s_at	fieF	b3915	EG11873
1766449_s_at	yjfJ	b4182	G7847
1761589_s_at	tyrB	b4054	EG11040
1764160_s_at	mdtD	b2077	EG12136
1764062_s_at	hslJ	b1379	G6702
1768000_s_at	proX	b2679	EG10773
1761088_s_at	cybB	b1418	EG10172
1761645_s_at	hofC	b0106	EG11798
1767506_s_at	entC	b0593	EG10261
1764481_s_at	yecT	b1877	G7026
1768749_s_at	yhdP	b4472	G7690
1767038_s_at	folA	b0048	EG10326
1762332_s_at	ygeX	b2871	G7490
1759291_s_at	nfsB	b0578	EG50005
1759806_s_at	trpC	b1262	EG11026
1766716_s_at	nrdG	b4237	G812
1769248_at	potG	b0855	EG11630
1761620_s_at	treB	b4240	EG12127
1768461_s_at	msrA	b4219	EG11433
1764123_s_at	yaaU	b0045	EG11566
1765501_s_at	murB	b3972	EG11205
1766843_s_at	icd	b1136	EG10489
1759753_at	micA	b4442	G0-8866
1767449_s_at	yqfA	b2899	G7512
1768045_s_at	flgH	b1079	G364
1759927_s_at	aphA	b4055	EG11934
1764766_s_at	ttcA	b1344	G6675
1759303_s_at	crcB	b0624	EG12209
1767453_at	psrO	b4449	G0-8870
1767946_s_at	basS	b4112	EG11614
1768832_s_at	yajQ	b0426	G6240
1761473_s_at	ygiS	b3020	G7570
1761173_s_at	srlD	b2705	EG10971
1769279_s_at	mrcB	b0149	EG10605
1768762_s_at	rffM	b3794	EG11458
1763715_s_at	bcsF	b3537	EG12264
1768937_at	ompC	b2215	EG10670
1762774_s_at	gcd	b0124	EG10369
1767628_at	ygfF	b2902	G7514
1768146_s_at	ivy	b0220	G6104
1764029_at	rfaQ	b3632	EG11341
1768221_s_at	metK	b2942	EG10589
1764820_s_at	ybjH	b0843	G6441
1767755_s_at	yegH	b2063	G7108
1760846_at	dinD	b3645	EG11193
1761151_at	moeB	b0826	EG10154
1763679_at	cyaR	b4438	G0-8878
1762367_s_at	tpiA	b3919	EG11015
1762769_at	ygiL	b3043	EG12363
1761548_s_at	bax	b3570	EG11360
1767710_s_at	dnaE	b0184	EG10238
1764186_s_at	ygjP	b3085	G7604
1760763_s_at	cdsA	b0175	EG10139
1763939_s_at	rutD	b1009	G6520
1760041_s_at	malK	b4035	EG10558
1761973_s_at	nagZ	b1107	G6567
1759741_at	paaG	b1394	G6715
1768076_s_at	yqhD	b3011	G7564
1764712_s_at	nlpD	b2742	EG12111
1769181_at	ypdI	b2376	G7239
1765101_at	yigG	b3818	EG11465
1768275_s_at	yqeF	b2844	G7464
1763355_at	cas1	b2755	G7425
1766553_s_at	wzzE	b3785	EG11295
1759817_s_at	frwC	b3949	EG11908
1769152_s_at	emrA	b2685	EG11354
1767873_s_at	flhA	b1879	G370
1763362_s_at	yigL	b3826	EG11470
1764473_s_at	kch	b1250	EG11606
1764467_s_at	sspB	b3228	EG10978
1766913_s_at	pykF	b1676	EG10804
1762327_s_at	greB	b3406	EG11578
1760098_s_at	yghX		G7556
1767087_s_at	cbpA	b1000	EG12193
1759134_s_at	mdtJ	b1600	G6858
1765040_s_at	flgI	b1080	G365
1762687_s_at	mglA	b2149	EG10592
